index,value
1444,818921
1445,818936
1446,818958
1447,818973
1448,819212
1449,819220
1450,819228
1451,830874
1452,830876
1453,830886
1454,831083
1455,831104
1456,836241
1457,836243
1458,836249
1459,836264
1460,841584
1461,841586
1462,841592
1463,841604
1464,841612
1465,841627
1466,841652
1467,850101
1468,850103
1469,850109
1470,850117
1471,850129
1472,850144
1473,850166
1474,850399
1475,855796
1476,855802
1477,855804
1478,861459
1479,861463
1480,861467
1481,865847
1482,865849
1483,865869
1484,866064
1485,866070
1486,866072
1487,866086
1488,866107
1489,866606
1490,866608
1491,866642
1492,880266
1493,880268
1494,880282
1495,880289
1496,881242
1497,881244
1498,881250
1499,881258
1500,881279
1501,881302
1502,881316
1503,892290
1504,892292
1505,892298
1506,892306
1507,892318
1508,892333
1509,897473
1510,897475
1511,897481
1512,897489
1513,897509
1514,900621
1515,905666
1516,905668
1517,905674
1518,905682
1519,905694
1520,905709
1521,905738
1522,905767
1523,914451
1524,914453
1525,914461
1526,914469
1527,914480
1528,922354
1529,922356
1530,922366
1531,922374
1532,922430
1533,922434
1534,922446
1535,925279
1536,925281
1537,925289
1538,925585
1539,925587
1540,936912
1541,936914
1542,936933
1543,937092
1544,937098
1545,937100
1546,937114
1547,937135
1548,937150
1549,947989
1550,947991
1551,948001
1552,948024
1553,948031
1554,948162
1555,948169
1556,948185
1557,948191
1558,948228
1559,959510
1560,959512
1561,959522
1562,963631
1563,963633
1564,963639
1565,963647
1566,963668
1567,964220
1568,964222
1569,964454
1570,964461
1571,973156
1572,973158
1573,973164
1574,973172
1575,973184
1576,973199
1577,981581
1578,981583
1579,981589
1580,981597
1581,981609
1582,981624
1583,989089
1584,989091
1585,989097
1586,989105
1587,989117
1588,989160
1589,989345
1590,989349
1591,989353
1592,989386
1593,989393
